2025/12/04 01:02:00 PM > ep 161 done. total_steps=43646 | reward=1.0 | episode_steps=132 | hours=0.067 | epsilon=0.202
2025/12/04 01:02:00 PM > ep 162 done. total_steps=43764 | reward=1.0 | episode_steps=118 | hours=0.067 | epsilon=0.201
2025/12/04 01:02:03 PM > ep 163 done. total_steps=44245 | reward=1.0 | episode_steps=481 | hours=0.068 | epsilon=0.199
2025/12/04 01:02:03 PM > ep 164 done. total_steps=44314 | reward=1.0 | episode_steps=69 | hours=0.068 | epsilon=0.198
2025/12/04 01:02:04 PM > ep 165 done. total_steps=44457 | reward=1.0 | episode_steps=143 | hours=0.068 | epsilon=0.197
2025/12/04 01:02:04 PM > ep 166 done. total_steps=44475 | reward=1.0 | episode_steps=18 | hours=0.068 | epsilon=0.197
2025/12/04 01:02:05 PM > ep 167 done. total_steps=44553 | reward=1.0 | episode_steps=78 | hours=0.068 | epsilon=0.197
2025/12/04 01:02:06 PM > ep 168 done. total_steps=44799 | reward=1.0 | episode_steps=246 | hours=0.069 | epsilon=0.196
2025/12/04 01:02:06 PM > ep 169 done. total_steps=44869 | reward=1.0 | episode_steps=70 | hours=0.069 | epsilon=0.195
2025/12/04 01:02:07 PM > ep 170 done. total_steps=44989 | reward=1.0 | episode_steps=120 | hours=0.069 | epsilon=0.195
2025/12/04 01:02:08 PM > ep 171 done. total_steps=45200 | reward=1.0 | episode_steps=211 | hours=0.069 | epsilon=0.194
2025/12/04 01:02:08 PM > ep 172 done. total_steps=45219 | reward=1.0 | episode_steps=19 | hours=0.069 | epsilon=0.194
2025/12/04 01:02:09 PM > ep 173 done. total_steps=45324 | reward=1.0 | episode_steps=105 | hours=0.069 | epsilon=0.193
2025/12/04 01:02:09 PM > ep 174 done. total_steps=45380 | reward=1.0 | episode_steps=56 | hours=0.070 | epsilon=0.193
2025/12/04 01:02:10 PM > ep 175 done. total_steps=45587 | reward=1.0 | episode_steps=207 | hours=0.070 | epsilon=0.192
2025/12/04 01:02:11 PM > ep 176 done. total_steps=45822 | reward=1.0 | episode_steps=235 | hours=0.070 | epsilon=0.191
2025/12/04 01:02:12 PM > ep 177 done. total_steps=45924 | reward=1.0 | episode_steps=102 | hours=0.070 | epsilon=0.191
2025/12/04 01:02:15 PM > ep 178 done. total_steps=46408 | reward=1.0 | episode_steps=484 | hours=0.071 | epsilon=0.188
2025/12/04 01:02:15 PM > ep 179 done. total_steps=46501 | reward=1.0 | episode_steps=93 | hours=0.071 | epsilon=0.188
2025/12/04 01:02:16 PM > ep 180 done. total_steps=46665 | reward=1.0 | episode_steps=164 | hours=0.071 | epsilon=0.187
2025/12/04 01:02:16 PM > ep 181 done. total_steps=46699 | reward=1.0 | episode_steps=34 | hours=0.072 | epsilon=0.187
2025/12/04 01:02:18 PM > ep 182 done. total_steps=47090 | reward=1.0 | episode_steps=391 | hours=0.072 | epsilon=0.185
2025/12/04 01:02:20 PM > ep 183 done. total_steps=47394 | reward=1.0 | episode_steps=304 | hours=0.073 | epsilon=0.184
2025/12/04 01:02:20 PM > ep 184 done. total_steps=47520 | reward=1.0 | episode_steps=126 | hours=0.073 | epsilon=0.184
2025/12/04 01:02:21 PM > ep 185 done. total_steps=47550 | reward=1.0 | episode_steps=30 | hours=0.073 | epsilon=0.184
2025/12/04 01:02:21 PM > ep 186 done. total_steps=47600 | reward=1.0 | episode_steps=50 | hours=0.073 | epsilon=0.183
2025/12/04 01:02:22 PM > ep 187 done. total_steps=47725 | reward=1.0 | episode_steps=125 | hours=0.073 | epsilon=0.183
2025/12/04 01:02:22 PM > ep 188 done. total_steps=47799 | reward=1.0 | episode_steps=74 | hours=0.073 | epsilon=0.182
2025/12/04 01:02:24 PM > ep 189 done. total_steps=48156 | reward=1.0 | episode_steps=357 | hours=0.074 | epsilon=0.181
2025/12/04 01:02:24 PM > ep 190 done. total_steps=48235 | reward=1.0 | episode_steps=79 | hours=0.074 | epsilon=0.181
2025/12/04 01:02:25 PM > ep 191 done. total_steps=48286 | reward=1.0 | episode_steps=51 | hours=0.074 | epsilon=0.180
2025/12/04 01:02:26 PM > ep 192 done. total_steps=48498 | reward=1.0 | episode_steps=212 | hours=0.074 | epsilon=0.180
2025/12/04 01:02:27 PM > ep 193 done. total_steps=48761 | reward=1.0 | episode_steps=263 | hours=0.075 | epsilon=0.179
2025/12/04 01:02:28 PM > ep 194 done. total_steps=48984 | reward=1.0 | episode_steps=223 | hours=0.075 | epsilon=0.178
2025/12/04 01:02:29 PM > ep 195 done. total_steps=49146 | reward=1.0 | episode_steps=162 | hours=0.075 | epsilon=0.177
2025/12/04 01:02:31 PM > ep 196 done. total_steps=49406 | reward=1.0 | episode_steps=260 | hours=0.076 | epsilon=0.176
2025/12/04 01:02:32 PM > ep 197 done. total_steps=49626 | reward=1.0 | episode_steps=220 | hours=0.076 | epsilon=0.175
2025/12/04 01:02:35 PM > ep 198 done. total_steps=50194 | reward=1.0 | episode_steps=568 | hours=0.077 | epsilon=0.173
2025/12/04 01:02:35 PM > ep 199 done. total_steps=50290 | reward=1.0 | episode_steps=96 | hours=0.077 | epsilon=0.173
2025/12/04 01:02:38 PM > ep 200 done. total_steps=50770 | reward=1.0 | episode_steps=480 | hours=0.078 | epsilon=0.171
2025/12/04 01:02:40 PM > ep 201 done. total_steps=51211 | reward=1.0 | episode_steps=441 | hours=0.078 | epsilon=0.170
2025/12/04 01:02:41 PM > ep 202 done. total_steps=51364 | reward=1.0 | episode_steps=153 | hours=0.078 | epsilon=0.169
2025/12/04 01:02:43 PM > ep 203 done. total_steps=51662 | reward=1.0 | episode_steps=298 | hours=0.079 | epsilon=0.168
2025/12/04 01:02:44 PM > ep 204 done. total_steps=51911 | reward=1.0 | episode_steps=249 | hours=0.079 | epsilon=0.167
2025/12/04 01:02:44 PM > ep 205 done. total_steps=52004 | reward=1.0 | episode_steps=93 | hours=0.079 | epsilon=0.167
2025/12/04 01:02:44 PM > ep 206 done. total_steps=52014 | reward=1.0 | episode_steps=10 | hours=0.079 | epsilon=0.167
2025/12/04 01:02:45 PM > ep 207 done. total_steps=52077 | reward=1.0 | episode_steps=63 | hours=0.079 | epsilon=0.167
2025/12/04 01:02:45 PM > ep 208 done. total_steps=52155 | reward=1.0 | episode_steps=78 | hours=0.080 | epsilon=0.166
2025/12/04 01:02:45 PM > ep 209 done. total_steps=52179 | reward=1.0 | episode_steps=24 | hours=0.080 | epsilon=0.166
2025/12/04 01:02:45 PM > ep 210 done. total_steps=52186 | reward=1.0 | episode_steps=7 | hours=0.080 | epsilon=0.166
2025/12/04 01:02:46 PM > ep 211 done. total_steps=52227 | reward=1.0 | episode_steps=41 | hours=0.080 | epsilon=0.166
2025/12/04 01:02:46 PM > ep 212 done. total_steps=52265 | reward=1.0 | episode_steps=38 | hours=0.080 | epsilon=0.166
